testharness2-snBDSK7Gd-csm,634e6a26-383e-4d3c-b89c-b8169353ba68
testharness2-snBDSK7Gd-funnel,4636c0d9-a9f4-4009-95a9-9290acc522ab
testharness2-snBDSK7Gd-psm,bd8ca048-b60d-4a6a-85b5-d61bfa0694ae
testharness2-snBDSK7Gd-stitcher,ee7cdf87-1da1-46e6-83d3-7f5716353d4a
testharness2-snBDSK7Gd-testharness,a548623e-b825-4507-87a7-66f3284ddee2
testharness2-snBDSK7Gd-transcoder,eda8ba50-b288-465b-97f0-7100ce37efa1
testharness2-snBDSK7Gd-udc,b8918f8e-25d3-4ad4-b899-3f462923edc4
the-awx-server,958736fb-0fab-4fc0-a69a-617ebdda124e
tkende-cobra,51578ff9-afe0-4551-bc73-ed3273e5565f
training3,81def26e-b93c-45d7-a44c-4f3716631972
ubuntu16-test-rkemaster-01,d132623e-144c-40f8-8a36-1753315f6d48
ubuntu18-ipv6test-ksmaster-01,0db204fc-425e-4a69-a4ab-f9e436a5b458
ubuntu18-ipv6test-ksworker-03,79be9cfd-7873-4e4a-aafa-20f8d01002fe
ubuntu18-ipv6test-ksworker-04,7f89304f-ec05-4bbb-9edf-68c66913f786
ubuntu18-test-ksmaster-01,3f17973c-df80-4cf4-af8f-b064cee05f84
ubuntu18-test-ksworker-01,2a806abd-fabf-4adf-9b02-4886d31e1a59
ubuntu18-test-ksworker-02,ea891109-f603-4dcf-a7ec-af58d81e3fae
vk-dev1,9bf7dcfb-94eb-4130-b251-f42fe63a70c0
vk-dev1-ubuntu,9c418673-eb9d-4aa9-93c1-7fa3209157b7
